# ID	Source fingerprint	Practice distractor A	Practice distractor B
4001	b9074299	Lazarillo de Tormes.	Don Juan Tenorio.
4002	6bbdd453	Maruja Mallo.	Pilar Miró.
4003	d034da3f	Miguel de Cervantes.	Vicente Aleixandre.
4004	5ee8ce0b	Mercè Rodoreda.	Irene Vallejo.
4005	86252f04	Paco de Lucía.	Isaac Albéniz.
4006	6a95aeb6	Tomar doce uvas.	Regalar libros y rosas.
4007	8f506cc8	La gaita.	El violín.
4008	69253de4	Pintora.	Científica.
4009	f4908f5d	Margarita Salas.	Clara Campoamor.
4010	e50043f9	Bilbao.	Zaragoza.
4011	120a1411	Córdoba.	Sevilla.
4012	18b94f3a	Sara Baras.	Penélope Cruz.
4013	965eeadf	Nada.	La casa de Bernarda Alba.
4014	44469d9c	Real Academia Española (RAE).	Instituto Cervantes.
4015	83ccacb8	Pintor.	Cocinero.
4016	162c35b	Nochevieja.	El Día de la Constitución.
4017	666f2f75	Escritor.	Director de cine.
4018	ca77db39	Una directora de cine.	Una cantante de flamenco.
4019	8c00baa6	Jotas exclusivamente.	Himnos deportivos.
4020	fb00ea2b	Tenis.	Natación.
4021	c38c2dd7	Federico García Lorca.	Miguel de Cervantes.
4022	cbe5a86	Las Fallas.	La Tomatina.
4023	af7c192	Directores de cine.	Premios Nobel de Literatura.
4024	4a4e6511	Castañas.	Aceitunas.
4025	23d46a3	Carmen Laforet.	Clara Campoamor.
4026	ccaef240	Museo del Prado.	Museo Guggenheim.
4027	40a261c	Maruja Mallo.	Margarita Salas.
4028	dff88345	La cristiana, la budista y la hindú.	La judía, la budista y la sintoísta.
4029	62848596	La Fiesta Nacional.	La Noche de San Juan.
4030	f7d7939a	Bilbao.	Oviedo.
4031	1454e8a7	Madrid.	Barcelona.
4032	f029f6a	Deportistas.	Cocineros.
4033	a9afe43e	Premio Cervantes.	Premio Nobel de Literatura.
4034	67e7bf7b	Los Premios Goya.	Los premios de la Copa del Rey.
4035	271f56c5	El críquet.	El fútbol australiano.
4036	13bc4c69	Marc Márquez.	Miguel Induráin.
5001	5819da32	La tarjeta sanitaria europea.	El carné de conducir.
5002	20800dc4	El informe de vida laboral.	El carné de conducir.
5003	88f30dc3	Al pasaporte.	Al carné de conducir.
5004	2b7f1f59	16 años.	21 años.
5005	974ef5bf	El Registro Civil.	La Agencia Tributaria.
5006	f9c88d57	Solo un examen teórico.	Solo un examen práctico.
5007	f045396e	En la Dirección General de Tráfico.	En el centro de salud.
5008	1dcd8d2e	La 1.	Canal 24 horas.
5009	862785fa	9 semanas.	29 semanas.
5010	89e8a1a5	1,5 g/l.	2,5 g/l.
5011	f46c03b9	Una casa rural aislada.	Una caravana.
5012	aa4e73b6	Cantabria.	La Rioja.
5013	2bda12ce	IRPF.	IVA.
5014	736a55e1	Menú del día.	Postre.
5015	f901ed90	En el Registro Civil.	En la Dirección General de Tráfico.
5016	e8c6c35e	Con 1 hijo.	Con 2 hijos en todos los casos.
5017	f91c5a40	Solo entre personas de diferente sexo.	Solo entre personas del mismo sexo.
5018	57bc6ecf	El Registro Civil.	El Instituto Cervantes.
5019	b98a85ca	Arroz.	Pasta.
5020	91d4f885	Sushi.	Cuscús.
5021	34f46554	Antena 3.	Telecinco.
5022	68d7f426	Hacer ruido a cualquier hora.	Ocupar siempre los espacios comunes con objetos personales.
5023	14f71ebb	Patatas.	Pasta.
5024	4d12fd67	Andalucía.	Canarias.
5025	ca0677fb	Obligatoriamente siempre el del padre.	Obligatoriamente siempre el de la madre.
5026	8b9347a4	6 de diciembre.	23 de abril.
5027	b1c4f6ff	Los martes.	Los jueves.
5028	b4c67f0b	En el centro de salud.	En una biblioteca pública.
5029	37f8ee4d	Recaudación de impuestos.	Inspección de vehículos.
5030	9a13eea2	Asturias.	Canarias.
5031	bb06bdff	El carné de conducir.	El certificado de estudios.
5032	650fa66a	Una hora más.	Dos horas menos.
5033	64df9b0b	Inspección Técnica de Vehículos.	Prueba de Educación Infantil.
5034	9089ed42	Aceite de oliva.	Calzado.
5035	a6db81cb	Solo impuestos directos.	Solo impuestos indirectos.
5036	792ca796	18 años.	21 años.
5037	3620faa8	En el interior de un avión.	En una sala de cine.
5038	fc0c056	Se compone de un solo curso académico.	Es obligatorio hasta los 18 años.
5039	27f6589b	Impuestos directos.	Impuestos sobre la renta exclusivamente.
5040	25a352c2	El número de pasaporte nuevo.	El número del carné de conducir.
5041	9175a614	Exigen pagar matrícula como centros privados.	Solo admiten hijos de funcionarios.
5042	406cb991	Toledo.	Valladolid.
5043	8194c9cd	No recibe dinero de la Administración.	Depende de la Casa Real.
5044	20464dcb	De Oceanía.	De la Antártida.
5045	ed784427	Solo los niños.	Solo los desempleados.
5046	ce0d6190	Petróleo.	Gas natural.
5047	a3e70dec	Una Escuela Oficial de Idiomas.	Una autoescuela.
5048	e5a35807	Solo puede ser de grado medio.	Solo puede ser de grado superior.
5049	fd64f2a5	Al Registro Civil.	A la farmacia para una consulta médica de familia.
5050	13f75635	Para cinco años.	Para diez años.
5051	e2257d15	A las 17 o 18 h.	A las 15 o 16 h.
5052	a94a77f9	016.	060.
5053	6869c204	El Boletín Oficial del Estado.	Un boletín municipal de barrio.
5054	f5e0a47b	En el Registro Civil.	En el centro de salud.
5055	86620260	Solo por la mañana.	Solo de lunes a viernes.
5056	7dd71bfb	La DGT.	La Agencia Tributaria.
5057	7dad0f67	Una autopista de peaje.	Una ruta exclusivamente para vehículos.
5058	848e5c1	La 2.	Canal Sur.
5059	2d9bdf95	112.	060.
5060	338b2e	De navegación.	De vuelos regionales.
5061	50a94d26	Esperar a los hijos.	Caminar por la acera.
5062	358e1503	Doctor.	Graduado universitario.
5063	28712c26	Técnico.	Bachiller.
5064	7df9a516	En el estanco.	En la biblioteca.
5065	2276cc8	Prohibido embarcar sin billete.	Obligatorio pasar la ITV.
5066	e315c5be	Un aparcamiento privado propio.	Un permiso para viajar al extranjero cada mes.
5067	3dddcb36	Barcelona.	Málaga.
5068	c42a4554	Solo en los asientos delanteros.	Solo para el conductor.
5069	7af9c54c	90 km/h.	140 km/h.
5070	8af384cb	El Registro Civil.	La declaración de la renta.
5071	bf181c21	El tren de cercanías.	El autobús interurbano.
5072	e1405c41	Inscribirlo en el Registro Civil.	Solicitarle una tarjeta sanitaria pública.
5073	c5579049	Italia.	Alemania.
5074	4192403a	14 años.	18 años.
5075	c0f8cb33	Agricultura.	Minería.
5076	39ff1501	La extracción de petróleo.	La extracción de gas natural.
5077	fc8c6ef1	La Constitución municipal.	El Reglamento de Circulación.
5078	b382f495	Registro Civil.	Biblioteca municipal.
5079	ea04d560	Tiene un solo ciclo.	Tiene cuatro ciclos.
5080	1e30cad	En enero.	En julio.
5081	345e6f76	Solo admiten a mayores de 25 años.	Son centros privados del Instituto Cervantes.
5082	ba27e07a	Certificado de empadronamiento.	Tarjeta sanitaria europea.
5083	cda0fd56	Las normas de circulación.	El calendario de elecciones generales.
5084	fbf5736f	En la extracción de petróleo.	En la producción de gas natural.
